Date,Open,High,Low,Close,Adj Close,Volume
2011-02-14,65751.000000,66743.000000,65462.000000,66558.000000,66558.000000,1945000
2011-02-15,66558.000000,66861.000000,66117.000000,66341.000000,66341.000000,2355400
2011-02-16,66342.000000,67793.000000,66342.000000,67571.000000,67571.000000,2672400
2011-02-17,67580.000000,67876.000000,67107.000000,67685.000000,67685.000000,2147800
2011-02-18,67685.000000,68226.000000,67386.000000,68067.000000,68067.000000,1944000
2011-02-21,68067.000000,68067.000000,67085.000000,67259.000000,67259.000000,1453000
2011-02-22,67255.000000,67570.000000,66342.000000,66440.000000,66440.000000,3045400
2011-02-23,66440.000000,67266.000000,66049.000000,66910.000000,66910.000000,3335000
2011-02-24,66909.000000,67344.000000,66693.000000,66949.000000,66949.000000,2699200
2011-02-25,66952.000000,67632.000000,66331.000000,66903.000000,66903.000000,2394600
2011-02-28,66909.000000,67458.000000,66687.000000,67383.000000,67383.000000,2640400
2011-03-01,67381.000000,67708.000000,66243.000000,66243.000000,66243.000000,2166400
2011-03-02,66242.000000,67282.000000,66101.000000,67282.000000,67282.000000,2518600
2011-03-03,67284.000000,68188.000000,67284.000000,68146.000000,68146.000000,2254600
2011-03-04,68138.000000,68220.000000,67514.000000,68012.000000,68012.000000,1840000
2011-03-09,68010.000000,68057.000000,67109.000000,67264.000000,67264.000000,1407600
2011-03-10,67256.000000,67256.000000,65854.000000,66041.000000,66041.000000,2375000
2011-03-11,66041.000000,67014.000000,65559.000000,66685.000000,66685.000000,2491000
2011-03-14,66684.000000,67333.000000,66088.000000,67169.000000,67169.000000,1874200
2011-03-15,67168.000000,67168.000000,65463.000000,67005.000000,67005.000000,2852200
2011-03-16,67011.000000,67502.000000,65663.000000,66003.000000,66003.000000,3056800
2011-03-17,66017.000000,66950.000000,66015.000000,66216.000000,66216.000000,1985000
2011-03-18,66217.000000,67384.000000,66217.000000,66880.000000,66880.000000,2842800
2011-03-21,66887.000000,67676.000000,66656.000000,66690.000000,66690.000000,2557400
2011-03-22,66684.000000,67631.000000,66531.000000,67578.000000,67578.000000,2357800
2011-03-23,67570.000000,67918.000000,67317.000000,67796.000000,67796.000000,2145600
2011-03-24,67799.000000,68009.000000,67406.000000,67533.000000,67533.000000,1819800
2011-03-25,67528.000000,68256.000000,67497.000000,67766.000000,67766.000000,2223800
2011-03-28,67767.000000,68070.000000,67193.000000,67193.000000,67193.000000,1444400
2011-03-29,67194.000000,67862.000000,67046.000000,67419.000000,67419.000000,1768200
2011-03-30,67423.000000,68004.000000,67423.000000,67997.000000,67997.000000,1859800
2011-03-31,68000.000000,68606.000000,68000.000000,68587.000000,68587.000000,2124400
2011-04-01,68588.000000,69387.000000,68588.000000,69268.000000,69268.000000,2397400
2011-04-04,69270.000000,69787.000000,69270.000000,69704.000000,69704.000000,1200
2011-04-05,69704.000000,70047.000000,69465.000000,69838.000000,69838.000000,0
2011-04-06,69841.000000,70108.000000,68954.000000,69037.000000,69037.000000,0
2011-04-07,69040.000000,69334.000000,68695.000000,69176.000000,69176.000000,0
2011-04-08,69180.000000,69430.000000,68472.000000,68718.000000,68718.000000,2111400
2011-04-11,68719.000000,69177.000000,68029.000000,68164.000000,68164.000000,2173800
2011-04-12,68153.000000,68153.000000,66721.000000,66896.000000,66896.000000,2525800
2011-04-13,66909.000000,67411.000000,66251.000000,66486.000000,66486.000000,2515200
2011-04-14,66483.000000,67042.000000,66090.000000,66279.000000,66279.000000,2259000
2011-04-15,66281.000000,66765.000000,65832.000000,66684.000000,66684.000000,2145800
2011-04-18,66689.000000,66706.000000,65158.000000,65415.000000,65415.000000,3060400
2011-04-19,65417.000000,66257.000000,65417.000000,66158.000000,66158.000000,2214400
2011-04-20,66165.000000,67077.000000,66165.000000,67058.000000,67058.000000,2397400
2011-04-25,67058.000000,67124.000000,66552.000000,66972.000000,66972.000000,1385800
2011-04-26,66972.000000,67413.000000,66722.000000,67144.000000,67144.000000,1726600
2011-04-27,67143.000000,67228.000000,65885.000000,66264.000000,66264.000000,2151200
2011-04-28,66249.000000,66249.000000,65105.000000,65673.000000,65673.000000,3090000
2011-04-29,65664.000000,66294.000000,65461.000000,66133.000000,66133.000000,2645000
2011-05-02,66119.000000,66500.000000,65346.000000,65463.000000,65463.000000,2306800
2011-05-03,65458.000000,65468.000000,64244.000000,64318.000000,64318.000000,2235400
2011-05-04,64320.000000,64807.000000,63548.000000,63616.000000,63616.000000,2490000
2011-05-05,63609.000000,64268.000000,62973.000000,63407.000000,63407.000000,2806000
2011-05-06,63422.000000,64704.000000,63422.000000,64417.000000,64417.000000,2690000
2011-05-09,64416.000000,64782.000000,64150.000000,64622.000000,64622.000000,1880800
2011-05-10,64622.000000,65143.000000,64619.000000,64877.000000,64877.000000,1982600
2011-05-11,64877.000000,64877.000000,63622.000000,63776.000000,63776.000000,2458400
2011-05-12,63772.000000,64329.000000,63125.000000,64003.000000,64003.000000,2486800
2011-05-13,64003.000000,64165.000000,63063.000000,63235.000000,63235.000000,2667400
2011-05-16,63233.000000,63829.000000,62676.000000,62830.000000,62830.000000,2459600
2011-05-17,62830.000000,63680.000000,62414.000000,63673.000000,63673.000000,2210800
2011-05-18,63675.000000,64015.000000,62830.000000,62841.000000,62841.000000,2488000
2011-05-19,62844.000000,63607.000000,62225.000000,62367.000000,62367.000000,2291200
2011-05-20,62370.000000,63043.000000,62086.000000,62597.000000,62597.000000,2087000
2011-05-23,62597.000000,62597.000000,61659.000000,62345.000000,62345.000000,1767600
2011-05-24,62350.000000,63415.000000,62350.000000,63337.000000,63337.000000,2006400
2011-05-25,63329.000000,63857.000000,63025.000000,63388.000000,63388.000000,1918600
2011-05-26,63389.000000,64121.000000,63232.000000,64099.000000,64099.000000,2397000
2011-05-27,64101.000000,64548.000000,64092.000000,64295.000000,64295.000000,1672000
2011-05-30,64295.000000,64460.000000,63915.000000,63954.000000,63954.000000,629000
2011-05-31,63961.000000,64620.000000,63932.000000,64620.000000,64620.000000,2428400
2011-06-01,64616.000000,64674.000000,63401.000000,63411.000000,63411.000000,2158200
2011-06-02,63411.000000,64218.000000,63277.000000,64218.000000,64218.000000,2135600
2011-06-03,64216.000000,64979.000000,63628.000000,64341.000000,64341.000000,2155800
2011-06-06,64341.000000,64512.000000,62960.000000,63068.000000,63068.000000,1822400
2011-06-07,63072.000000,63784.000000,63072.000000,63218.000000,63218.000000,2089600
2011-06-08,63204.000000,63354.000000,62709.000000,63033.000000,63033.000000,1805800
2011-06-09,63037.000000,63773.000000,62872.000000,63469.000000,63469.000000,1946800
2011-06-10,63470.000000,63478.000000,62495.000000,62697.000000,62697.000000,1688200
2011-06-13,62701.000000,62968.000000,62022.000000,62023.000000,62023.000000,1397200
2011-06-14,62023.000000,62697.000000,62023.000000,62205.000000,62205.000000,1762400
2011-06-15,62198.000000,62198.000000,61448.000000,61604.000000,61604.000000,2668000
